County,Reg.Dem,Reg.Rep,Reg.Reform,Total.Reg,Buch.Votes
Alachua ,64135,34319,91,120867,263
Baker,10261,1684,4,12352,73
Bay,44209,34286,55,92749,268
Bradford,9639,2832,3,13547,45
Brevard,107840,131427,148,283680,570
Broward,456789,266829,332,887764,795
Calhoun,6359,614,2,7234,90
Charlotte,33358,47549,41,98898,182
Citrus,33715,33144,44,81378,270
Clay,24763,48790,40,86861,186
Collier,29341,70536,118,123572,122
Columbia,19835,8225,35,31131,89
Desoto,10231,3739,7,15731,36
Dixie,9003,1095,0,10511,29
Duval,211762,152008,150,423967,252
Escambia,78439,69724,130,171004,502
Flagler,13439,13758,30,33466,83
Franklin,6128,1038,0,7578,33
Gadsden,22340,2633,11,26253,38
Gilchrist,4965,1396,6,6878,29
Glades,4497,1352,2,6326,9
Gulf,7814,1625,3,9923,71
Hamilton,5976,696,3,6939,23
Hardee,7798,2344,4,10886,30
Hendry,10258,4475,10,16268,22
Hernando,38087,40760,43,95549,242
Highlands,22360,23604,24,52941,127
Hillsborough,220810,183476,299,499427,847
Holmes,8606,1292,2,10317,76
Indian,22064,38256,66,71420,105
Jackson,18948,3915,8,23973,102
Jefferson,6449,1234,2,8161,29
Lafayette,3610,319,0,4036,10
Lake,46677,64309,80,131031,289
Lee,79739,124144,113,252918,305
Leon,86486,40082,80,146417,282
Levy,12588,4486,17,18671,67
Liberty,3511,166,0,3752,39
Madison,8734,1289,2,10378,29
Manatee,58887,80265,140,170578,271
Marion,61566,62972,108,147707,563
Martin,23243,48046,48,86514,112
Miami-Dade,396518,338874,217,896912,561
Monroe,18943,18919,62,48409,47
Nassau,17000,14171,13,35170,90
Okaloosa,30931,62121,96,111320,267
Okeechobe,11270,4638,27,17448,43
Orange,165024,161451,199,404779,446
Osceola,38685,32884,62,92196,125
Palm,295185,231233,337,656694,3407
Pasco,88854,90172,167,221671,570
Pinellas,214161,242077,425,574961,1013
Polk,114998,97068,119,247807,533
Putnam,25550,10453,27,40396,138
Santa,26911,40505,55,77778,311
Sarasota,67785,115255,154,221945,305
Seminole,62997,91747,81,190704,194
St.,30014,44705,59,89511,229
St.,48684,45638,25,117785,124
Sumter,15022,12005,21,31549,114
Suwannee,14658,4479,7,20617,108
Taylor,10110,1688,3,12304,27
Union,5700,775,1,6752,37
Volusia,113336,99432,176,260572,498
Wakulla,9953,2561,7,13382,46
Walton,14845,9911,22,28144,120
Washington,10688,2743,9,14358,88
