"Position","Height","Weight","FourtyYardDash","BenchPress","VerticalLeap","BroadJump","Shuttle","ThreeCone"
"TE",79.63,253,4.83,NA,34,121,4.26,7
"TE",78,251,NA,NA,33.5,117,4.43,7.03
"RB",70.75,224,4.6,NA,33,120,NA,NA
"OLB",75.5,243,4.42,NA,36,128,NA,NA
"FS",73.88,209,4.36,NA,35.5,123,4.28,6.64
"OG",78.25,308,5.1,NA,30.5,106,4.68,7.84
"CB",72.63,197,4.39,14,34.5,NA,NA,NA
"ILB",72.5,225,4.56,23,36.5,124,NA,NA
"WR",67.75,170,4.32,NA,39,135,4.07,6.65
"WR",74.38,200,4.43,NA,39,132,4.15,6.71
"RB",68,197,4.45,NA,33.5,121,NA,NA
"OLB",76.63,246,4.36,NA,37,131,NA,NA
"OLB",75.75,237,NA,NA,36.5,125,4.28,6.91
"WR",72.88,212,4.68,NA,33,118,4.57,7.14
"RB",70.5,201,NA,17,31,120,NA,NA
"SS",74.13,212,4.41,NA,36.5,123,4.46,NA
"TE",76.88,253,4.63,22,34.5,125,4.47,7.05
"SS",72.63,205,4.43,NA,36.5,123,4.24,7.01
"OLB",72.88,224,NA,22,35.5,123,4.25,7.03
"WR",70.63,193,4.66,NA,32,116,NA,NA
"OLB",75.13,248,4.54,22,35.5,NA,4.23,7.07
"SS",73.38,199,4.49,22,34.5,124,NA,NA
"RB",70.63,209,4.59,14,31,120,4.4,7.03
"RB",72.13,213,4.64,NA,30,118,NA,NA
"CB",72.5,194,4.55,11,34,122,4.44,7.27
"OT",77,308,5.32,NA,31,112,4.55,7.57
"OG",76.13,304,5.19,NA,27.5,105,4.73,NA
"WR",73.88,224,4.55,12,33,122,4.4,7.28
"DT",75.88,297,5,17,32,112,4.81,7.89
"SS",72.13,194,4.36,NA,31.5,123,NA,NA
"OLB",74.38,232,4.57,NA,39.5,127,NA,NA
"OG",75.38,311,5.13,NA,30,108,4.9,7.84
"DT",76.25,282,4.99,19,27.5,110,NA,NA
"RB",71.25,204,4.38,NA,31,121,NA,NA
"ILB",74.63,250,4.53,34,40.5,128,4.24,6.98
"FS",74.25,199,4.37,NA,36.5,133,NA,NA
"OLB",74.5,239,4.57,NA,36.5,127,NA,7.12
"QB",75.25,218,4.9,NA,33,115,4.39,6.95
"RB",70.13,222,4.59,25,29.5,118,NA,NA
"RB",71,199,4.42,NA,33,124,NA,NA
