year,site,siteid,species,treeid,trw,bai,radius,age,awc100,pH,BS,C.N,tmean,prec,dri,co2
1957,Aosta,AOS,spruce,AOSpcab1,2.71,12,7.2,46,81.8,6.1,98.1,15,12.45,434,-214,315.1
1958,Aosta,AOS,spruce,AOSpcab1,1.89,8.64,7.4,47,81.8,6.1,98.1,15,13.39,388,-305,315.7
1959,Aosta,AOS,spruce,AOSpcab1,3.46,16.36,7.7,48,81.8,6.1,98.1,15,14.39,290,-428,315.8
1960,Aosta,AOS,spruce,AOSpcab1,4.65,23.23,8.2,49,81.8,6.1,98.1,15,13.68,497,-194,316.8
1961,Aosta,AOS,spruce,AOSpcab1,5.52,29.28,8.7,50,81.8,6.1,98.1,15,14.78,304,-445,317.5
1962,Aosta,AOS,spruce,AOSpcab1,3.06,17.03,9,51,81.8,6.1,98.1,15,14.18,226,-526,318.3
1963,Aosta,AOS,spruce,AOSpcab1,2.7,15.5,9.3,52,81.8,6.1,98.1,15,13.83,350,-343,318.8
1964,Aosta,AOS,spruce,AOSpcab1,1.92,11.34,9.5,53,81.8,6.1,98.1,15,14.6,395,-277,319.4
1965,Aosta,AOS,spruce,AOSpcab1,0.21,1.25,9.5,54,81.8,6.1,98.1,15,13.3,549,-78,319.9
1966,Aosta,AOS,spruce,AOSpcab1,1.94,11.72,9.7,55,81.8,6.1,98.1,15,13.99,318,-351,321.2
1967,Aosta,AOS,spruce,AOSpcab1,1.79,11.03,9.9,56,81.8,6.1,98.1,15,13.96,315,-353,322
1968,Aosta,AOS,spruce,AOSpcab1,0.62,3.8,10,57,81.8,6.1,98.1,15,13.22,463,-146,322.9
1969,Aosta,AOS,spruce,AOSpcab1,2.31,14.62,10.2,58,81.8,6.1,98.1,15,13.29,518,-108,324.5
1970,Aosta,AOS,spruce,AOSpcab1,1.4,9.02,10.3,59,81.8,6.1,98.1,15,13.68,265,-441,325.5
1971,Aosta,AOS,spruce,AOSpcab1,1.69,11.05,10.5,60,81.8,6.1,98.1,15,13.61,235,-434,326.2
1972,Aosta,AOS,spruce,AOSpcab1,2.3,15.33,10.7,61,81.8,6.1,98.1,15,12.37,334,-289,327.3
1973,Aosta,AOS,spruce,AOSpcab1,1.13,7.65,10.8,62,81.8,6.1,98.1,15,13.25,334,-297,329.5
1974,Aosta,AOS,spruce,AOSpcab1,1.11,7.53,11,63,81.8,6.1,98.1,15,12.98,220,-450,330.1
1975,Aosta,AOS,spruce,AOSpcab1,1.7,11.78,11.1,64,81.8,6.1,98.1,15,12.68,438,-226,331
1976,Aosta,AOS,spruce,AOSpcab1,0.89,6.24,11.2,65,81.8,6.1,98.1,15,12.93,271,-348,332
1977,Aosta,AOS,spruce,AOSpcab1,2.99,21.34,11.5,66,81.8,6.1,98.1,15,11.7,643,95,333.7
1978,Aosta,AOS,spruce,AOSpcab1,3.9,28.6,11.9,67,81.8,6.1,98.1,15,11.66,271,-385,335.3
1979,Aosta,AOS,spruce,AOSpcab1,2.93,22.09,12.2,68,81.8,6.1,98.1,15,12.19,172,-475,336.7
1980,Aosta,AOS,spruce,AOSpcab1,4.39,34.22,12.6,69,81.8,6.1,98.1,15,12.02,248,-383,338.5
1981,Aosta,AOS,spruce,AOSpcab1,4.38,35.35,13.1,70,81.8,6.1,98.1,15,12.75,703,90,339.8
1982,Aosta,AOS,spruce,AOSpcab1,2.59,21.47,13.3,71,81.8,6.1,98.1,15,13.28,407,-262,341
1983,Aosta,AOS,spruce,AOSpcab1,2.99,25.31,13.6,72,81.8,6.1,98.1,15,12.74,481,-147,342.6
1984,Aosta,AOS,spruce,AOSpcab1,2.35,20.29,13.9,73,81.8,6.1,98.1,15,11.79,410,-222,344.3
1985,Aosta,AOS,spruce,AOSpcab1,3.65,32.2,14.2,74,81.8,6.1,98.1,15,13.05,291,-421,345.7
1986,Aosta,AOS,spruce,AOSpcab1,3.04,27.46,14.5,75,81.8,6.1,98.1,15,12.95,545,-93,347
1987,Aosta,AOS,spruce,AOSpcab1,1.47,13.48,14.7,76,81.8,6.1,98.1,15,13.45,351,-306,348.8
1988,Aosta,AOS,spruce,AOSpcab1,2.43,22.59,14.9,77,81.8,6.1,98.1,15,13.24,293,-344,351.3
1989,Aosta,AOS,spruce,AOSpcab1,1.52,14.32,15.1,78,81.8,6.1,98.1,15,13.44,376,-294,352.8
