"","date","bike_counts","weekEnd","Wind_avg","Precip","Snowfall","Snowdepth","Temp_avg","Temp_max","Temp_min","Wind_fast2m","Wind_fast5s","FOG","Thunder","IcePellets","Smoke"
"1","2017-01-01",1312,TRUE,9.84,0,0,0,46,52,34,21,27.1,0,0,0,0
"2","2017-01-02",598,FALSE,10.07,0.31,0,0,40,43,34,16.1,19,1,0,1,1
"3","2017-01-03",1041,FALSE,13.42,0.46,0,0,43,46,41,21,25.9,1,0,0,0
"4","2017-01-04",3173,FALSE,17.67,0,0,0,46,55,35,29.1,40.9,0,0,0,0
"5","2017-01-05",2115,FALSE,17.67,0,0,0,34,35,28,31.1,36.9,0,0,0,0
"6","2017-01-06",1348,FALSE,8.72,0.03,1.1,1.2,32,36,27,17,25.1,0,0,0,0
"7","2017-01-07",349,TRUE,16.11,0.22,8.2,0,25,27,21,29.1,35.1,1,0,0,1
"8","2017-01-08",350,TRUE,18.34,0,0,7.9,21,26,18,29.1,35.1,0,0,0,0
"9","2017-01-09",797,FALSE,11.18,0,0,7.1,20,24,13,21,25.1,0,0,0,0
"10","2017-01-10",1344,FALSE,7.83,0,0,5.9,27,47,20,25.1,30,0,0,0,0
"11","2017-01-11",2467,FALSE,11.63,0.46,0,1.2,45,51,41,23.9,32,1,0,0,0
"12","2017-01-12",3329,FALSE,11.41,0.1,0,1.2,50,61,46,18.1,23,1,0,0,0
"13","2017-01-13",2670,FALSE,16.78,0,0,0,50,58,34,29.1,35.1,0,0,0,0
"14","2017-01-14",917,TRUE,5.82,0.15,1.8,0,32,34,28,14.1,15,1,0,0,1
"15","2017-01-15",1208,TRUE,8.28,0,0,2,35,41,30,14.1,19,0,0,0,0
"16","2017-01-16",1900,FALSE,6.71,0,0,0,35,42,28,13,16.1,0,0,0,0
"17","2017-01-17",1345,FALSE,7.38,0.59,0,0,40,43,39,15,18.1,1,0,0,1
"18","2017-01-18",2424,FALSE,10.74,0.09,0,0,41,42,40,16.1,21,1,0,0,0
"19","2017-01-19",3356,FALSE,8.5,0,0,0,43,54,37,16.1,19,0,0,0,0
"20","2017-01-20",1827,FALSE,5.59,0.08,0,0,44,46,42,12.1,14.1,1,0,0,0
"21","2017-01-21",2040,TRUE,8.5,0,0,0,44,47,42,14.1,17,1,0,0,0
"22","2017-01-22",1351,TRUE,8.95,0.01,0,0,46,54,43,28,34,1,0,0,1
"23","2017-01-23",953,FALSE,25.05,0.84,0,0,44,47,38,36.9,47,1,0,0,0
"24","2017-01-24",844,FALSE,21.7,1.22,0,0,38,40,38,40,52.1,1,0,0,0
"25","2017-01-25",3301,FALSE,14.76,0,0,0,42,51,37,29.1,36.9,0,0,0,0
"26","2017-01-26",2570,FALSE,14.76,0.03,0,0,45,55,42,35.1,42.9,1,0,0,0
"27","2017-01-27",2580,FALSE,20.8,0,0,0,42,46,36,29.1,36.9,0,0,0,0
"28","2017-01-28",1441,TRUE,17.67,0,0,0,37,40,34,28,32,0,0,0,0
"29","2017-01-29",1785,TRUE,11.63,0,0,0,38,46,30,21.9,28,0,0,0,0
"30","2017-01-30",2474,FALSE,12.53,0,0,0,36,39,30,23,28,0,0,0,0
"31","2017-01-31",1660,FALSE,6.26,0.05,0.6,0,30,32,26,14.1,19,1,0,0,0
"32","2017-02-01",2978,FALSE,12.53,0,0,0,38,48,27,21.9,29.1,1,0,0,0
"33","2017-02-02",2827,FALSE,11.86,0,0,0,40,47,32,25.1,32,0,0,0,0
"34","2017-02-03",2089,FALSE,13.2,0,0,0,32,34,26,29.1,35.1,0,0,0,0
"35","2017-02-04",1321,TRUE,14.99,0,0,0,29,35,23,30,36.9,0,0,0,0
"36","2017-02-05",1363,TRUE,12.97,0,0,0,35,42,30,25.1,29.1,0,0,0,0
"37","2017-02-06",2993,FALSE,10.74,0,0,0,42,48,36,21.9,29.1,0,0,0,0
