DATE,Wind_avg,Precip,Snowfall,Snowdepth,Temp_avg,Temp_max,Temp_min,Wind_direct2min,Wind_direct_5s,Wind_fast2m,Wind_fast5s,FOG,HeavyFog,Thunder,IcePellets,Hail,Glaze,Smoke,DriftingSnow
2017-01-01,9.84,0,0,0,46,52,34,290,270,21,27.1,,,,,,,,
2017-01-02,10.07,0.31,0,0,40,43,34,50,60,16.1,19,1,,,1,,,1,
2017-01-03,13.42,0.46,0,0,43,46,41,60,50,21,25.9,1,,,,,,,
2017-01-04,17.67,0,0,0,46,55,35,290,270,29.1,40.9,,,,,,,,
2017-01-05,17.67,0,0,0,34,35,28,260,280,31.1,36.9,,,,,,,,
2017-01-06,8.72,0.03,1.1,1.2,32,36,27,330,310,17,25.1,,,,,,,,
2017-01-07,16.11,0.22,8.2,0,25,27,21,340,350,29.1,35.1,1,,,,,,1,
2017-01-08,18.34,0,0,7.9,21,26,18,320,310,29.1,35.1,,,,,,,,
2017-01-09,11.18,0,0,7.1,20,24,13,240,300,21,25.1,,,,,,,,
2017-01-10,7.83,0,0,5.9,27,47,20,170,180,25.1,30,,,,,,,,
2017-01-11,11.63,0.46,0,1.2,45,51,41,210,210,23.9,32,1,,,,,,,
2017-01-12,11.41,0.1,0,1.2,50,61,46,230,220,18.1,23,1,,,,,,,
2017-01-13,16.78,0,0,0,50,58,34,320,320,29.1,35.1,,,,,,,,
2017-01-14,5.82,0.15,1.8,0,32,34,28,10,10,14.1,15,1,,,,,,1,
2017-01-15,8.28,0,0,2,35,41,30,360,350,14.1,19,,,,,,,,
2017-01-16,6.71,0,0,0,35,42,28,240,240,13,16.1,,,,,,,,
2017-01-17,7.38,0.59,0,0,40,43,39,240,240,15,18.1,1,,,,,,1,
2017-01-18,10.74,0.09,0,0,41,42,40,20,40,16.1,21,1,,,,,,,
2017-01-19,8.5,0,0,0,43,54,37,320,320,16.1,19,,,,,,,,
2017-01-20,5.59,0.08,0,0,44,46,42,40,60,12.1,14.1,1,,,,,,,
2017-01-21,8.5,0,0,0,44,47,42,250,250,14.1,17,1,1,,,,,,
2017-01-22,8.95,0.01,0,0,46,54,43,60,80,28,34,1,1,,,,,1,
2017-01-23,25.05,0.84,0,0,44,47,38,50,50,36.9,47,1,,,,,,,
2017-01-24,21.7,1.22,0,0,38,40,38,40,50,40,52.1,1,,,,,,,
2017-01-25,14.76,0,0,0,42,51,37,310,300,29.1,36.9,,,,,,,,
2017-01-26,14.76,0.03,0,0,45,55,42,290,290,35.1,42.9,1,,,,,,,
2017-01-27,20.8,0,0,0,42,46,36,260,260,29.1,36.9,,,,,,,,
2017-01-28,17.67,0,0,0,37,40,34,250,250,28,32,,,,,,,,
2017-01-29,11.63,0,0,0,38,46,30,270,270,21.9,28,,,,,,,,
2017-01-30,12.53,0,0,0,36,39,30,310,310,23,28,,,,,,,,
2017-01-31,6.26,0.05,0.6,0,30,32,26,90,320,14.1,19,1,,,,,,,
2017-02-01,12.53,0,0,0,38,48,27,270,270,21.9,29.1,1,,,,,,,
2017-02-02,11.86,0,0,0,40,47,32,290,290,25.1,32,,,,,,,,
2017-02-03,13.2,0,0,0,32,34,26,310,280,29.1,35.1,,,,,,,,
2017-02-04,14.99,0,0,0,29,35,23,320,290,30,36.9,,,,,,,,
2017-02-05,12.97,0,0,0,35,42,30,210,210,25.1,29.1,,,,,,,,
2017-02-06,10.74,0,0,0,42,48,36,300,290,21.9,29.1,,,,,,,,
2017-02-07,6.93,0.1,0,0,40,44,35,30,30,16.1,18.1,1,,,,,,1,
2017-02-08,8.72,0,0,0,48,65,39,360,350,19.9,23,1,,,,,,1,
2017-02-09,23.04,0.74,8.3,1.2,35,44,19,310,300,38,48.1,1,,,1,,,1,1
2017-02-10,16.11,0,0,7.9,24,31,20,270,270,23.9,32,,,,,,,,
2017-02-11,6.93,0,0,5.9,37,45,30,210,210,16.1,18.1,,,,,,,,
2017-02-12,10.74,0.4,0.1,5.1,36,37,32,60,330,21,23.9,1,,,1,,1,,
2017-02-13,25.72,0,0,3.9,37,39,31,300,300,44.1,62,,,,,,,,
2017-02-14,11.41,0,0,3.1,33,38,28,310,330,21,27.1,,,,,,,,
2017-02-15,10.74,0,0,2,38,46,31,300,310,30,38.9,,,,,,,,
2017-02-16,22.15,0,0,0,35,39,29,320,330,30,36.9,,,,,,,,
2017-02-17,14.54,0,0,0,33,44,27,320,320,25.9,36.9,,,,,,,,
2017-02-18,7.16,0,0,0,41,53,30,220,220,15,19,,,,,,,,
2017-02-19,11.41,0,0,0,55,68,46,290,300,23,29.1,,,,,,,,
2017-02-20,13.2,0,0,0,52,56,38,40,40,21.9,27.1,,,,,,,,
2017-02-21,8.5,0,0,0,40,45,31,210,,12.1,,,,,,,,,
2017-02-22,5.82,0,0,0,44,51,39,170,,10.1,,,,,,,,,
2017-02-23,5.37,0,0,0,45,57,38,200,200,16.1,19.9,1,1,,,,,,
2017-02-24,11.18,0,0,0,52,62,45,180,180,25.9,33.1,1,1,,,,,,
2017-02-25,11.86,0.34,0,0,53,63,47,320,290,28,36.9,1,1,1,,,,1,
2017-02-26,18.57,0,0,0,44,47,37,310,300,29.1,38,,,,,,,,
2017-02-27,12.3,0,0,0,41,52,32,190,190,23.9,31.1,,,,,,,,
2017-02-28,6.26,0,0,0,48,58,43,150,180,16.1,19,1,1,,,,,,
2017-03-01,11.63,0.01,0,0,51,61,48,190,190,25.1,32,1,1,,,,,,
2017-03-02,25.5,0,0,0,52,62,37,280,290,40.9,55,,,,,,,,
2017-03-03,18.34,0,0,0,37,42,25,300,300,33.1,42.9,,,,,,,,
2017-03-04,20.8,0,0,0,27,34,18,300,310,35.1,44.1,,,,,,,,
2017-03-05,13.65,0,0,0,24,38,16,330,330,25.1,33.1,,,,,,,,
2017-03-06,8.05,0,0,0,32,42,22,190,190,16.1,19,,,,,,,1,
2017-03-07,10.51,0.11,0,0,44,50,42,190,180,21.9,27.1,1,,,,,,,
2017-03-08,16.55,0.05,0,0,52,61,46,290,290,25.9,32,1,,,,,,,
2017-03-09,19.46,0,0,0,55,64,46,270,270,32,40.9,,,,,,,,
2017-03-10,17.45,0.26,2.4,0,42,49,24,310,300,36,44.1,1,,,,,,1,
2017-03-11,18.57,0,0,2,25,29,18,310,320,33.1,40,,,,,,,,
2017-03-12,18.34,0,0,1.2,25,32,20,310,270,28,36.9,,,,,,,,
2017-03-13,9.17,0,0,0,26,34,20,310,300,21,25.9,,,,,,,,
2017-03-14,24.61,1.94,5.1,3.9,32,36,23,40,40,38.9,48.1,1,,,1,,,,1
2017-03-15,21.25,0,0,3.9,25,28,22,290,290,32,42.9,,,,,,,,
2017-03-16,17.22,0,0,3.9,30,40,25,290,290,28,36,,,,,,,,
2017-03-17,13.2,0,0,3.1,36,45,30,240,290,21,25.1,,,,,,,,
2017-03-18,10.96,0.07,0,2,36,40,28,40,40,21.9,27.1,1,,,,,,1,
2017-03-19,14.54,0,0,1.2,40,48,35,20,30,23,30,,,,,,,,
2017-03-20,12.53,0,0,0,43,55,35,340,360,21,27.1,,,,,,,,
2017-03-21,9.17,0,0,0,49,57,42,210,210,16.1,19,,,,,,,,
2017-03-22,23.49,0,0,0,42,50,24,320,300,38,53,,,,,,,,
2017-03-23,11.63,0,0,0,31,44,23,320,320,21,28,,,,,,,,
2017-03-24,13.87,0,0,0,40,49,32,190,190,23,30,,,,,,,,
2017-03-25,8.72,0.01,0,0,51,62,42,40,40,19.9,23,,,,,,,,
2017-03-26,12.08,0.14,0,0,42,43,39,70,90,21,25.1,1,,,,,,,
2017-03-27,6.04,0.19,0,0,45,58,40,220,60,12.1,15,1,1,,,,,,
2017-03-28,8.28,0.93,0,0,47,49,42,80,80,21,25.1,1,,1,,,,,
2017-03-29,16.33,0,0,0,49,61,42,330,330,25.9,31.1,,,,,,,,
2017-03-30,9.62,0.01,0,0,43,50,37,200,10,17,23,,,,,,,,
2017-03-31,16.11,2.07,0,0,41,42,39,70,70,31.1,42.1,1,,,,,,,
2017-04-01,16.55,0.01,0,0,42,47,38,20,30,25.9,33.1,1,,,,,,,
2017-04-02,12.53,0,0,0,50,65,40,330,320,25.9,32,,,,,,,,
2017-04-03,8.72,0.03,0,0,53,59,42,130,120,23,27.1,1,,,,,,,
2017-04-04,10.51,1.05,0,0,50,54,46,130,120,29.1,38.9,1,1,,,,,,
2017-04-05,7.61,0,0,0,49,60,44,110,100,19.9,23.9,1,,,,,,,
2017-04-06,16.11,0.96,0,0,46,54,42,80,100,29.1,40,1,1,1,,,,,
2017-04-07,20.36,0,0,0,48,52,41,280,290,28,38.9,,,,,,,,
2017-04-08,17,0,0,0,47,58,41,320,270,28,38,,,,,,,,
2017-04-09,10.51,0,0,0,51,61,40,180,180,25.1,31.1,,,,,,,,
2017-04-10,11.41,0,0,0,52,62,43,190,190,25.9,33.1,,,,,,,,
2017-04-11,6.71,0,0,0,56,66,47,180,180,19.9,25.1,,,,,,,,
2017-04-12,6.93,0.05,0,0,60,73,52,310,310,21.9,25.1,,,,,,,,
2017-04-13,12.53,0,0,0,56,66,49,330,320,23.9,29.1,,,,,,,,
2017-04-14,7.61,0,0,0,54,60,47,180,190,16.1,19,,,,,,,,
2017-04-15,11.18,0,0,0,51,58,44,170,180,23.9,28,,,,,,,,
2017-04-16,13.2,0.01,0,0,64,83,51,280,270,36.9,47,1,,,,,,,
2017-04-17,14.99,0,0,0,70,76,58,340,350,29.1,34,,,,,,,,
2017-04-18,12.75,0,0,0,58,62,47,140,150,21,23.9,,,,,,,,
2017-04-19,12.53,0,0,0,48,52,45,130,150,21,23.9,,,,,,,,
2017-04-20,6.49,0.17,0,0,54,64,50,110,100,17,23,1,,,,,,1,
2017-04-21,9.17,0.03,0,0,53,58,49,100,90,21,27.1,1,,,,,,,
2017-04-22,7.83,0.11,0,0,53,58,50,360,360,21,25.1,1,,,,,,,
2017-04-23,11.18,0,0,0,53,61,47,360,350,18.1,25.1,,,,,,,,
2017-04-24,7.38,0.01,0,0,51,57,44,80,70,15,19,,,,,,,,
2017-04-25,17,0.98,0,0,54,59,51,60,60,25.9,35.1,1,,,,,,,
2017-04-26,8.72,0.48,0,0,57,62,54,30,30,21,25.1,1,,,,,,,
2017-04-27,7.61,0.01,0,0,60,65,56,140,140,17,21,1,1,,,,,,
2017-04-28,6.49,0,0,0,62,74,55,180,180,19.9,23.9,1,1,,,,,1,
2017-04-29,12.75,0.16,0,0,69,85,60,290,290,30,38.9,1,,1,,,,,
2017-04-30,13.87,0,0,0,64,70,51,100,100,25.1,33.1,1,,,,,,,
2017-05-01,12.75,0,0,0,55,67,50,180,180,28,34,1,,,,,,,
2017-05-02,18.34,0.02,0,0,66,77,59,270,240,36,47,1,1,,,,,,
2017-05-03,17.45,0,0,0,64,68,52,330,310,30,36.9,,,,,,,,
2017-05-04,11.18,0,0,0,55,61,44,150,150,19.9,25.1,,,,,,,,
2017-05-05,15.66,1.78,0,0,55,61,51,110,110,30,38,1,1,1,,,,,
2017-05-06,19.24,0.05,0,0,58,62,54,170,160,28,36,1,1,,,,,1,
2017-05-07,15.43,0,0,0,54,57,49,260,260,23.9,29.1,,,,,,,,
2017-05-08,11.86,0,0,0,53,61,42,280,270,23.9,34,,,,,,,,
2017-05-09,7.83,0,0,0,54,63,47,200,180,16.1,19.9,,,,,,,,
2017-05-10,5.82,0,0,0,54,60,50,170,200,13,16.1,,,,,,,,
2017-05-11,6.26,0,0,0,54,61,48,120,160,13,16.1,,,,,,,,
2017-05-12,8.5,0,0,0,53,61,47,160,150,17,23,,,,,,,,
2017-05-13,14.76,1.65,0,0,51,53,47,40,30,28,36.9,1,,,,,,,
2017-05-14,15.88,0.01,0,0,54,70,47,320,320,36,45,,,1,,,,,
2017-05-15,20.58,0,0,0,61,69,54,310,310,35.1,42.9,,,,,,,,
2017-05-16,11.41,0,0,0,66,78,58,230,310,21,25.1,,,,,,,,
2017-05-17,9.62,0,0,0,67,77,57,190,180,21.9,27.1,,,,,,,,
2017-05-18,10.74,0,0,0,74,85,65,180,180,21,23.9,,,,,,,,
2017-05-19,12.97,0,0,0,79,92,67,20,20,23,29.1,,,,,,,,
2017-05-20,10.51,0,0,0,65,67,53,40,40,23,30,,,,,,,,
2017-05-21,8.72,0,0,0,58,65,49,130,120,17,21,,,,,,,,
2017-05-22,8.5,0.65,0,0,57,63,55,140,140,17,19.9,1,,,,,,,
2017-05-23,6.71,0,0,0,63,70,59,340,330,15,19.9,1,,,,,,,
2017-05-24,9.17,0.02,0,0,62,69,57,90,110,18.1,21.9,,,,,,,,
2017-05-25,13.42,1.14,0,0,58,61,56,80,80,23.9,34,1,,1,,,,,
2017-05-26,12.3,0.19,0,0,64,77,57,300,270,23,28,1,,1,,,,,
2017-05-27,8.72,0,0,0,67,73,60,300,190,19.9,25.1,,,,,,,,
2017-05-28,8.72,0,0,0,63,68,58,120,110,16.1,21,1,,,,,,,
2017-05-29,8.5,0.29,0,0,59,61,56,80,90,15,21,1,,,,,,,
2017-05-30,9.4,0,0,0,57,60,55,100,120,15,19,1,,,,,,,
2017-05-31,6.71,0.03,0,0,62,73,58,180,,12.1,,1,,,,,,,
2017-06-01,9.84,0,0,0,68,82,60,260,260,23,28,1,1,,,,,1,
