id,price,area,bed,bath,ac,garage,pool,year,quality,style,lot,highway
1,360000,3032,4,4,yes,2,no,1972,medium,1,22221,no
2,340000,2058,4,2,yes,2,no,1976,medium,1,22912,no
3,250000,1780,4,3,yes,2,no,1980,medium,1,21345,no
4,205500,1638,4,2,yes,2,no,1963,medium,1,17342,no
5,275500,2196,4,3,yes,2,no,1968,medium,7,21786,no
6,248000,1966,4,3,yes,5,yes,1972,medium,1,18902,no
7,229900,2216,3,2,yes,2,no,1972,medium,7,18639,no
8,150000,1597,2,1,yes,1,no,1955,medium,1,22112,no
9,195000,1622,3,2,yes,2,no,1975,low,1,14321,no
10,160000,1976,3,3,no,1,no,1918,low,1,32358,no
11,190000,2812,7,5,no,2,yes,1966,low,7,56639,no
12,559000,2791,3,4,yes,3,no,1992,high,1,30595,no
13,535000,3381,5,4,yes,3,no,1988,high,7,23172,no
14,525000,3459,5,4,yes,2,no,1978,high,5,35351,no
15,299900,2090,3,3,yes,2,no,1987,medium,1,24025,no
16,527000,3232,5,5,yes,2,no,1984,medium,6,21445,no
17,169900,1502,2,2,yes,2,no,1956,medium,1,28958,no
18,335250,2747,3,4,yes,2,no,1993,medium,7,22241,no
19,323900,2890,4,3,yes,2,no,1954,medium,7,41992,no
20,200000,1825,3,3,yes,2,no,1957,medium,1,30266,no
21,211000,1578,4,3,yes,2,no,1986,medium,2,18829,no
22,212000,1763,3,3,yes,2,no,1959,medium,1,24726,no
23,245000,2517,4,3,yes,2,no,1965,medium,1,23261,no
24,140400,1872,3,2,yes,2,no,1985,medium,3,24017,no
25,295000,3266,3,3,yes,2,no,1908,medium,6,24881,no
26,170900,2020,1,2,yes,1,no,1956,medium,1,21385,no
27,229000,2164,4,2,yes,2,no,1965,medium,1,28291,no
28,218500,2080,3,2,yes,2,yes,1959,medium,1,14752,no
29,160000,2208,2,2,yes,2,no,1985,medium,7,8058,no
30,259000,3048,6,4,yes,3,no,1960,medium,7,29307,no
31,164500,1460,3,2,yes,2,no,1978,medium,1,9999,no
32,280000,2540,3,2,no,2,no,1940,medium,5,42428,no
33,154000,2208,2,2,yes,2,no,1985,medium,7,6746,no
34,272000,2560,4,2,yes,3,no,1977,medium,5,36100,no
35,180000,2061,4,2,no,2,no,1958,medium,1,20138,no
36,157500,1980,3,2,yes,2,no,1957,medium,1,32519,no
37,242500,3308,5,4,yes,2,no,1928,medium,5,47323,no
38,182000,2616,5,3,no,2,no,1955,low,5,11123,no
39,178000,1460,4,2,yes,2,no,1961,low,1,27095,no
40,171900,1580,2,1,no,1,no,1951,low,4,12417,no
41,165500,1460,3,2,yes,2,no,1960,low,1,22493,no
