"fg_result","distance","wind","rain"
1,21,8,FALSE
1,26,8,FALSE
1,52,8,FALSE
1,41,12,TRUE
0,52,12,TRUE
1,39,12,TRUE
1,35,12,TRUE
1,26,10,FALSE
1,33,10,FALSE
1,42,10,FALSE
1,32,10,FALSE
1,42,NA,FALSE
1,21,NA,FALSE
1,38,NA,FALSE
1,51,NA,FALSE
0,55,NA,FALSE
1,39,NA,FALSE
1,27,9,FALSE
0,47,9,FALSE
1,42,10,FALSE
1,36,10,FALSE
1,39,10,FALSE
1,35,10,FALSE
1,39,7,TRUE
1,27,7,TRUE
1,39,7,TRUE
1,31,7,TRUE
1,44,7,TRUE
1,45,8,FALSE
1,39,8,FALSE
1,46,8,FALSE
0,48,8,FALSE
1,24,10,FALSE
0,46,10,FALSE
1,20,10,FALSE
1,48,10,FALSE
1,28,10,FALSE
1,55,10,FALSE
1,20,10,FALSE
1,35,NA,FALSE
0,55,NA,FALSE
1,21,NA,FALSE
1,32,NA,FALSE
0,44,NA,FALSE
0,42,11,TRUE
0,43,11,TRUE
1,35,5,FALSE
1,51,5,FALSE
0,46,5,FALSE
1,53,5,FALSE
1,48,NA,FALSE
1,42,NA,FALSE
1,33,NA,FALSE
1,22,NA,FALSE
1,36,NA,FALSE
1,33,NA,FALSE
1,36,NA,FALSE
0,44,NA,FALSE
1,47,7,FALSE
1,27,7,FALSE
1,30,7,FALSE
1,53,7,FALSE
1,31,NA,FALSE
1,20,2,FALSE
1,55,3,FALSE
1,28,3,FALSE
1,40,3,FALSE
1,54,NA,FALSE
1,44,NA,FALSE
1,39,NA,FALSE
1,31,NA,FALSE
0,44,NA,FALSE
1,39,NA,FALSE
0,44,NA,FALSE
1,44,NA,FALSE
0,52,NA,FALSE
1,45,12,FALSE
1,42,12,FALSE
1,27,12,FALSE
1,43,12,FALSE
1,36,12,FALSE
0,54,12,FALSE
1,34,12,FALSE
1,42,12,FALSE
1,31,12,FALSE
1,49,5,FALSE
0,49,5,FALSE
1,27,5,FALSE
1,49,5,FALSE
0,49,10,FALSE
1,43,6,FALSE
1,41,6,FALSE
1,24,6,FALSE
1,55,4,FALSE
1,41,4,FALSE
0,48,5,FALSE
1,37,5,FALSE
1,40,5,FALSE
1,31,5,FALSE
1,48,5,FALSE
1,36,5,FALSE
0,52,5,FALSE
0,49,5,FALSE
0,35,5,FALSE
0,54,15,TRUE
1,29,15,TRUE
1,28,15,TRUE
1,46,15,TRUE
1,37,NA,FALSE
1,29,NA,FALSE
1,28,NA,FALSE
1,38,NA,FALSE
1,26,4,FALSE
1,46,4,FALSE
1,39,4,FALSE
1,36,4,FALSE
0,42,9,FALSE
1,25,2,FALSE
1,56,2,FALSE
1,30,NA,FALSE
1,50,NA,FALSE
0,46,NA,FALSE
1,20,NA,FALSE
1,41,NA,FALSE
1,43,NA,FALSE
0,53,3,FALSE
1,40,3,FALSE
1,50,4,FALSE
1,47,4,FALSE
1,35,4,FALSE
1,52,5,FALSE
0,43,5,FALSE
1,52,5,FALSE
1,41,6,TRUE
1,35,6,TRUE
0,55,5,TRUE
1,33,5,TRUE
1,35,5,TRUE
1,31,5,TRUE
1,24,5,TRUE
1,28,5,TRUE
0,46,5,FALSE
1,26,5,FALSE
1,38,NA,FALSE
1,25,NA,FALSE
1,36,NA,FALSE
1,32,NA,FALSE
1,30,NA,FALSE
1,49,NA,FALSE
1,21,NA,FALSE
1,45,NA,FALSE
1,23,NA,FALSE
1,44,NA,FALSE
1,30,NA,FALSE
1,28,NA,FALSE
1,54,NA,FALSE
1,45,11,FALSE
1,27,11,FALSE
1,28,11,FALSE
1,25,7,FALSE
1,52,7,FALSE
1,38,5,FALSE
1,21,5,FALSE
1,28,5,FALSE
0,47,5,FALSE
1,39,4,FALSE
1,37,4,FALSE
1,35,4,FALSE
1,39,10,FALSE
1,46,10,FALSE
0,48,10,FALSE
1,36,10,FALSE
1,38,10,FALSE
1,28,10,FALSE
1,34,2,FALSE
1,39,2,FALSE
1,47,2,FALSE
1,49,2,FALSE
1,28,2,FALSE
1,31,2,FALSE
1,52,9,FALSE
1,36,9,FALSE
1,52,9,FALSE
1,55,NA,FALSE
1,28,NA,FALSE
1,36,NA,FALSE
1,32,NA,FALSE
1,25,8,FALSE
0,47,8,FALSE
1,28,8,FALSE
1,29,8,FALSE
1,44,8,FALSE
0,50,8,FALSE
1,29,8,FALSE
1,32,NA,FALSE
1,43,NA,FALSE
1,33,NA,FALSE
1,22,NA,FALSE
1,38,NA,FALSE
1,42,NA,FALSE
1,40,NA,FALSE
0,59,NA,FALSE
1,44,NA,FALSE
1,29,NA,FALSE
1,37,NA,FALSE
1,42,5,FALSE
1,33,5,FALSE
1,34,5,FALSE
1,21,5,FALSE
1,46,5,FALSE
1,20,6,FALSE
1,37,3,FALSE
1,39,3,FALSE
1,34,3,FALSE
0,28,3,FALSE
1,40,3,FALSE
1,42,7,FALSE
1,34,7,FALSE
1,37,7,FALSE
1,26,7,FALSE
1,33,7,FALSE
1,32,10,FALSE
1,22,10,FALSE
1,54,10,FALSE
1,27,10,FALSE
1,38,10,FALSE
1,42,4,FALSE
1,27,4,FALSE
1,33,4,FALSE
1,30,4,FALSE
1,37,4,FALSE
0,38,NA,FALSE
1,23,NA,FALSE
0,52,NA,FALSE
0,50,NA,FALSE
1,40,NA,FALSE
0,45,NA,FALSE
1,52,NA,FALSE
0,54,9,FALSE
1,21,9,FALSE
1,48,9,FALSE
1,25,9,FALSE
1,33,9,FALSE
1,21,9,FALSE
1,30,5,FALSE
1,50,5,FALSE
1,46,5,FALSE
0,45,15,FALSE
1,47,5,FALSE
1,44,5,FALSE
0,48,5,FALSE
1,35,5,FALSE
1,25,5,FALSE
1,32,5,FALSE
0,55,5,FALSE
1,37,5,FALSE
1,27,NA,FALSE
0,48,NA,FALSE
1,43,NA,FALSE
1,20,NA,FALSE
1,21,NA,FALSE
1,19,NA,FALSE
1,48,NA,FALSE
1,36,NA,FALSE
0,30,7,FALSE
