"game_id","home_team","away_team","abs_spread","div_game","reg_playoff","penalty_count"
"2018_01_ATL_PHI","PHI","ATL",1,0,"REG",26
"2018_01_BUF_BAL","BAL","BUF",7.5,0,"REG",19
"2018_01_CHI_GB","GB","CHI",6.5,1,"REG",13
"2018_01_CIN_IND","IND","CIN",1,0,"REG",15
"2018_01_DAL_CAR","CAR","DAL",2.5,0,"REG",19
"2018_01_HOU_NE","NE","HOU",6,0,"REG",12
"2018_01_JAX_NYG","NYG","JAX",2.5,0,"REG",17
"2018_01_KC_LAC","LAC","KC",3.5,1,"REG",13
"2018_01_LA_OAK","LV","LA",6,0,"REG",19
"2018_01_NYJ_DET","DET","NYJ",7,0,"REG",10
"2018_01_PIT_CLE","CLE","PIT",3.5,1,"REG",23
"2018_01_SEA_DEN","DEN","SEA",3,0,"REG",14
"2018_01_SF_MIN","MIN","SF",6,0,"REG",10
"2018_01_TB_NO","NO","TB",10,1,"REG",15
"2018_01_TEN_MIA","MIA","TEN",1,0,"REG",12
"2018_01_WAS_ARI","ARI","WAS",2,0,"REG",18
"2018_02_ARI_LA","LA","ARI",13.5,1,"REG",14
"2018_02_BAL_CIN","CIN","BAL",1,1,"REG",16
"2018_02_CAR_ATL","ATL","CAR",5.5,1,"REG",9
"2018_02_CLE_NO","NO","CLE",10,0,"REG",8
"2018_02_DET_SF","SF","DET",6,0,"REG",19
"2018_02_HOU_TEN","TEN","HOU",3.5,1,"REG",19
"2018_02_IND_WAS","WAS","IND",6,0,"REG",13
"2018_02_KC_PIT","PIT","KC",4.5,0,"REG",24
"2018_02_LAC_BUF","BUF","LAC",7.5,0,"REG",12
"2018_02_MIA_NYJ","NYJ","MIA",3,1,"REG",9
"2018_02_MIN_GB","GB","MIN",2,1,"REG",15
"2018_02_NE_JAX","JAX","NE",2,0,"REG",9
"2018_02_NYG_DAL","DAL","NYG",3,1,"REG",9
"2018_02_OAK_DEN","DEN","LV",5.5,1,"REG",10
"2018_02_PHI_TB","TB","PHI",3,0,"REG",10
"2018_02_SEA_CHI","CHI","SEA",5,0,"REG",12
"2018_03_BUF_MIN","MIN","BUF",16.5,0,"REG",18
"2018_03_CHI_ARI","ARI","CHI",6,0,"REG",13
"2018_03_CIN_CAR","CAR","CIN",2.5,0,"REG",7
"2018_03_DAL_SEA","SEA","DAL",1,0,"REG",17
"2018_03_DEN_BAL","BAL","DEN",5.5,0,"REG",20
"2018_03_GB_WAS","WAS","GB",2.5,0,"REG",17
"2018_03_IND_PHI","PHI","IND",6.5,0,"REG",21
"2018_03_LAC_LA","LA","LAC",7.5,0,"REG",10
"2018_03_NE_DET","DET","NE",7,0,"REG",11
"2018_03_NO_ATL","ATL","NO",1.5,1,"REG",16
"2018_03_NYG_HOU","HOU","NYG",6.5,0,"REG",10
"2018_03_NYJ_CLE","CLE","NYJ",3,0,"REG",11
"2018_03_OAK_MIA","MIA","LV",3,0,"REG",17
"2018_03_PIT_TB","TB","PIT",1,0,"REG",21
"2018_03_SF_KC","KC","SF",6,0,"REG",20
"2018_03_TEN_JAX","JAX","TEN",10,1,"REG",12
"2018_04_BAL_PIT","PIT","BAL",3,1,"REG",12
"2018_04_BUF_GB","GB","BUF",8.5,0,"REG",8
"2018_04_CIN_ATL","ATL","CIN",3.5,0,"REG",16
"2018_04_CLE_OAK","LV","CLE",2.5,0,"REG",14
"2018_04_DET_DAL","DAL","DET",2.5,0,"REG",10
"2018_04_HOU_IND","IND","HOU",1,1,"REG",20
"2018_04_KC_DEN","DEN","KC",3.5,1,"REG",13
"2018_04_MIA_NE","NE","MIA",6.5,1,"REG",16
"2018_04_MIN_LA","LA","MIN",7.5,0,"REG",6
"2018_04_NO_NYG","NYG","NO",3.5,0,"REG",11
"2018_04_NYJ_JAX","JAX","NYJ",7.5,0,"REG",15
"2018_04_PHI_TEN","TEN","PHI",3,0,"REG",12
"2018_04_SEA_ARI","ARI","SEA",3.5,1,"REG",13
"2018_04_SF_LAC","LAC","SF",10,0,"REG",9
"2018_04_TB_CHI","CHI","TB",3,0,"REG",15
"2018_05_ARI_SF","SF","ARI",3,1,"REG",14
"2018_05_ATL_PIT","PIT","ATL",3.5,0,"REG",14
"2018_05_BAL_CLE","CLE","BAL",3,1,"REG",14
"2018_05_DAL_HOU","HOU","DAL",3.5,0,"REG",12
"2018_05_DEN_NYJ","NYJ","DEN",1,0,"REG",10
"2018_05_GB_DET","DET","GB",1,1,"REG",20
"2018_05_IND_NE","NE","IND",10.5,0,"REG",11
"2018_05_JAX_KC","KC","JAX",3,0,"REG",16
"2018_05_LA_SEA","SEA","LA",7.5,1,"REG",14
